skin_name,weapon_type,base_price_vp,discount_percent,final_price_vp,region,rank,age_group,avg_monthly_spend,previous_purchases,wishlist_added,event_active,purchased
Radiant,Ghost,2975,30,2082.5,Asia,Radiant,16-20,2117,18,1,1,True
Elderflame,Frenzy,2475,20,1980.0,EU,Silver,16-20,3988,0,0,0,False
Araxys,Vandal,2175,10,1957.5,EU,Platinum,26-30,4436,3,1,0,True
Reaver,Bandit,1775,10,1597.5,Asia,Silver,16-20,745,20,1,1,True
Imperium,Judge,2175,30,1522.5,NA,Radiant,26-30,4445,6,1,0,True
Kuronami,Sheriff,2375,10,2137.5,Asia,Diamond,21-25,4125,4,1,0,True
Spectrum,Phantom,2675,10,2407.5,EU,Silver,21-25,943,12,1,0,True
Mystbloom,Outlaw,2175,20,1740.0,NA,Silver,16-20,1291,0,0,1,False
Ora,Sheriff,2475,10,2227.5,NA,Gold,26-30,1007,17,0,0,False
Neptune,Odin,1775,20,1420.0,Asia,Bronze,26-30,732,2,0,0,False
Glitchpop,Classic,2175,10,1957.5,Asia,Platinum,26-30,1266,8,1,1,True
Neptune,Odin,1775,30,1242.5,Asia,Silver,21-25,4750,10,0,1,False
Elderflame,Frenzy,2475,0,2475.0,EU,Diamond,21-25,3938,20,1,0,False
Overdrive,Stinger,2175,10,1957.5,Asia,Diamond,21-25,1030,4,1,0,False
Reaver,Bandit,1775,10,1597.5,Asia,Silver,26-30,950,6,0,0,True
Forsaken,Spectre,1775,20,1420.0,Asia,Bronze,16-20,4989,15,1,0,True
Oni,Bulldog,1775,10,1597.5,NA,Platinum,16-20,4299,19,0,0,False
Neptune,Odin,1775,10,1597.5,Asia,Platinum,21-25,3279,0,0,1,False
Prime,Guardian,1775,30,1242.5,EU,Diamond,26-30,4828,4,1,1,False
Singularity,Ares,2175,20,1740.0,EU,Gold,16-20,4163,1,0,1,False
Mystbloom,Outlaw,2175,10,1957.5,NA,Diamond,16-20,1873,9,1,0,False
Mystbloom,Outlaw,2175,20,1740.0,Asia,Bronze,16-20,714,1,0,0,True
Evori,Melee,4950,0,4950.0,NA,Diamond,26-30,1244,2,0,0,False
Forsaken,Spectre,1775,10,1597.5,NA,Iron,26-30,4836,6,0,1,False
Reaver,Bandit,1775,10,1597.5,EU,Radiant,26-30,2208,13,0,1,False
Neptune,Odin,1775,30,1242.5,EU,Iron,16-20,632,6,1,1,True
Glitchpop,Classic,2175,20,1740.0,EU,Silver,26-30,3526,16,1,0,True
Ora,Sheriff,2475,10,2227.5,NA,Bronze,21-25,2411,9,0,1,False
Araxys,Vandal,2175,10,1957.5,Asia,Iron,26-30,2369,12,0,0,False
Spectrum,Phantom,2675,20,2140.0,EU,Immortal,16-20,1148,11,0,1,False
Reaver,Bandit,1775,10,1597.5,EU,Platinum,26-30,1942,13,0,0,False
Wasteland,Shorty,1275,0,1275.0,NA,Iron,26-30,1180,19,1,0,False
Oni,Bulldog,1775,10,1597.5,NA,Diamond,26-30,3347,4,1,0,False
Ora,Sheriff,2475,20,1980.0,EU,Silver,16-20,1516,7,1,0,False
RGX,Operator,2175,30,1522.5,NA,Bronze,21-25,3950,6,0,1,False
Imperium,Judge,2175,0,2175.0,Asia,Gold,16-20,3800,12,0,1,False
Evori,Melee,4950,10,4455.0,NA,Radiant,21-25,3000,18,1,0,False
Wasteland,Shorty,1275,10,1147.5,EU,Iron,26-30,4769,8,0,0,False
Wasteland,Shorty,1275,10,1147.5,NA,Gold,21-25,4551,20,1,1,True
Kuronami,Sheriff,2375,10,2137.5,EU,Bronze,21-25,2410,20,1,1,True
Nocturnum,Marshal,2175,30,1522.5,Asia,Silver,21-25,2621,16,1,0,True
Radiant,Ghost,2975,10,2677.5,Asia,Bronze,21-25,1673,16,1,0,False
Overdrive,Stinger,2175,10,1957.5,NA,Immortal,21-25,2455,9,0,0,False
Imperium,Judge,2175,0,2175.0,EU,Immortal,16-20,4532,0,1,1,False
Spectrum,Phantom,2675,30,1872.4999999999998,Asia,Immortal,21-25,864,0,0,0,False
Evori,Melee,4950,0,4950.0,Asia,Iron,21-25,977,19,0,0,True
Nocturnum,Marshal,2175,0,2175.0,EU,Diamond,16-20,4700,19,1,0,True
Ion,Bucky,1775,30,1242.5,NA,Gold,16-20,2899,15,0,0,True
Oni,Bulldog,1775,0,1775.0,EU,Silver,16-20,1475,4,1,0,False
RGX,Operator,2175,10,1957.5,EU,Silver,21-25,3518,3,0,0,False
Spectrum,Phantom,2675,10,2407.5,EU,Radiant,21-25,1787,16,1,0,True
Glitchpop,Classic,2175,0,2175.0,EU,Gold,21-25,2301,17,0,1,False
Oni,Bulldog,1775,30,1242.5,NA,Diamond,16-20,2483,1,1,0,False
Spectrum,Phantom,2675,0,2675.0,Asia,Diamond,21-25,1877,16,1,0,True
Radiant,Ghost,2975,20,2380.0,Asia,Gold,21-25,4961,20,1,0,True
Evori,Melee,4950,20,3960.0,EU,Platinum,21-25,2795,9,1,0,True
Evori,Melee,4950,20,3960.0,EU,Silver,16-20,610,11,1,1,False
Mystbloom,Outlaw,2175,0,2175.0,EU,Bronze,21-25,3674,18,0,0,False
Wasteland,Shorty,1275,30,892.5,Asia,Silver,26-30,1326,17,0,0,False
Oni,Bulldog,1775,10,1597.5,EU,Bronze,21-25,4497,17,1,1,False
Prime,Guardian,1775,30,1242.5,EU,Radiant,21-25,2447,5,1,0,False
Spectrum,Phantom,2675,0,2675.0,EU,Bronze,16-20,2854,9,0,0,False
Glitchpop,Classic,2175,10,1957.5,NA,Radiant,21-25,4948,1,0,1,False
Imperium,Judge,2175,10,1957.5,Asia,Gold,21-25,2730,3,1,1,True
Prime,Guardian,1775,30,1242.5,EU,Bronze,21-25,2348,16,0,1,True
Overdrive,Stinger,2175,10,1957.5,NA,Immortal,16-20,4811,15,1,0,True
Glitchpop,Classic,2175,30,1522.5,NA,Radiant,21-25,3734,11,0,0,False
Glitchpop,Classic,2175,20,1740.0,NA,Radiant,26-30,4400,13,1,0,False
Evori,Melee,4950,0,4950.0,Asia,Platinum,26-30,1340,17,0,0,False
Wasteland,Shorty,1275,20,1020.0,EU,Diamond,21-25,4498,6,1,1,False
Kuronami,Sheriff,2375,30,1662.5,NA,Radiant,16-20,4779,13,0,0,True
Kuronami,Sheriff,2375,20,1900.0,Asia,Iron,16-20,2741,11,1,1,False
Singularity,Ares,2175,20,1740.0,EU,Silver,16-20,550,15,0,1,False
Mystbloom,Outlaw,2175,20,1740.0,Asia,Platinum,16-20,3250,10,0,1,False
Imperium,Judge,2175,30,1522.5,Asia,Diamond,16-20,2644,12,1,1,True
Neptune,Odin,1775,30,1242.5,Asia,Iron,21-25,2713,14,0,0,False
Singularity,Ares,2175,30,1522.5,Asia,Silver,26-30,749,16,0,0,False
Elderflame,Frenzy,2475,20,1980.0,Asia,Silver,26-30,4573,5,1,0,True
Prime,Guardian,1775,30,1242.5,EU,Silver,26-30,4768,14,0,1,False
Gaia,Vandal,1775,0,1775.0,NA,Immortal,26-30,1796,16,0,1,False
RGX,Operator,2175,10,1957.5,Asia,Iron,26-30,3814,6,1,0,True
Singularity,Ares,2175,0,2175.0,NA,Bronze,26-30,1465,19,0,1,False
Gaia,Vandal,1775,20,1420.0,EU,Gold,16-20,2917,14,1,0,True
Elderflame,Frenzy,2475,30,1732.5,NA,Gold,26-30,4069,18,1,0,True
Radiant,Ghost,2975,10,2677.5,NA,Diamond,26-30,1333,6,0,0,True
Radiant,Ghost,2975,20,2380.0,Asia,Silver,26-30,2576,15,0,1,True
Oni,Bulldog,1775,10,1597.5,NA,Platinum,16-20,3179,17,1,0,True
Neptune,Odin,1775,10,1597.5,Asia,Diamond,26-30,1611,3,1,1,False
RGX,Operator,2175,30,1522.5,EU,Radiant,21-25,1727,16,0,0,False
Reaver,Bandit,1775,20,1420.0,EU,Silver,16-20,4162,20,0,0,False
Araxys,Vandal,2175,20,1740.0,EU,Immortal,26-30,561,17,1,0,True
Oni,Bulldog,1775,30,1242.5,NA,Immortal,21-25,4667,15,0,1,False
Radiant,Ghost,2975,30,2082.5,EU,Iron,21-25,3682,11,1,1,True
Forsaken,Spectre,1775,20,1420.0,NA,Gold,26-30,1125,9,0,1,True
Reaver,Bandit,1775,10,1597.5,Asia,Silver,16-20,536,1,1,0,False
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Radiant,21-25,2869,11,0,0,False
Nocturnum,Marshal,2175,0,2175.0,NA,Immortal,16-20,1070,4,0,1,False
Elderflame,Frenzy,2475,20,1980.0,Asia,Bronze,26-30,1332,9,0,1,False
Radiant,Ghost,2975,10,2677.5,NA,Iron,16-20,4112,17,1,0,False
Gaia,Vandal,1775,20,1420.0,Asia,Immortal,26-30,2052,11,1,0,True
Singularity,Ares,2175,30,1522.5,NA,Gold,21-25,2125,10,0,1,False
Elderflame,Frenzy,2475,30,1732.5,NA,Platinum,16-20,4019,4,1,0,True
Ion,Bucky,1775,10,1597.5,NA,Bronze,26-30,2991,5,0,1,False
Singularity,Ares,2175,0,2175.0,EU,Diamond,26-30,4573,14,0,0,False
Elderflame,Frenzy,2475,10,2227.5,NA,Immortal,16-20,4177,11,1,0,False
Mystbloom,Outlaw,2175,0,2175.0,EU,Iron,21-25,1351,2,0,0,False
Oni,Bulldog,1775,10,1597.5,EU,Iron,26-30,2027,5,1,0,False
RGX,Operator,2175,20,1740.0,NA,Gold,26-30,2242,20,1,1,True
Reaver,Bandit,1775,30,1242.5,NA,Platinum,26-30,3727,7,0,1,True
Nocturnum,Marshal,2175,20,1740.0,NA,Silver,21-25,3668,2,1,1,False
Glitchpop,Classic,2175,30,1522.5,NA,Gold,26-30,3897,20,1,1,False
Reaver,Bandit,1775,10,1597.5,EU,Gold,16-20,4485,6,1,1,True
Ora,Sheriff,2475,30,1732.5,EU,Silver,21-25,3700,3,1,1,True
Forsaken,Spectre,1775,0,1775.0,EU,Iron,26-30,4135,20,0,1,False
Ion,Bucky,1775,30,1242.5,NA,Silver,21-25,3689,8,1,0,True
Imperium,Judge,2175,20,1740.0,EU,Gold,26-30,2146,3,1,1,False
Araxys,Vandal,2175,20,1740.0,Asia,Radiant,16-20,4161,18,0,0,False
Overdrive,Stinger,2175,0,2175.0,Asia,Diamond,26-30,2097,16,0,1,False
Elderflame,Frenzy,2475,20,1980.0,Asia,Platinum,26-30,2467,13,0,1,False
RGX,Operator,2175,10,1957.5,Asia,Immortal,21-25,3562,0,0,0,False
Reaver,Bandit,1775,10,1597.5,Asia,Platinum,26-30,2004,8,1,1,False
Singularity,Ares,2175,30,1522.5,NA,Immortal,26-30,4006,16,0,0,True
Ora,Sheriff,2475,20,1980.0,EU,Iron,16-20,2963,18,1,0,True
Evori,Melee,4950,10,4455.0,EU,Silver,26-30,1101,20,1,0,False
Ion,Bucky,1775,30,1242.5,Asia,Platinum,16-20,3731,12,0,0,True
Glitchpop,Classic,2175,10,1957.5,Asia,Gold,21-25,932,11,1,1,True
Prime,Guardian,1775,30,1242.5,Asia,Immortal,16-20,1560,6,1,1,True
Wasteland,Shorty,1275,30,892.5,Asia,Radiant,21-25,2291,12,1,0,False
Evori,Melee,4950,10,4455.0,NA,Platinum,21-25,4657,11,1,1,False
Singularity,Ares,2175,0,2175.0,EU,Platinum,16-20,3181,6,1,0,True
Glitchpop,Classic,2175,30,1522.5,Asia,Gold,16-20,2619,16,1,1,False
Imperium,Judge,2175,0,2175.0,NA,Radiant,21-25,2062,12,0,0,False
Oni,Bulldog,1775,0,1775.0,EU,Gold,21-25,2068,18,1,1,True
Spectrum,Phantom,2675,20,2140.0,Asia,Bronze,16-20,3649,2,0,1,True
Wasteland,Shorty,1275,20,1020.0,Asia,Immortal,26-30,548,10,0,1,False
Oni,Bulldog,1775,20,1420.0,EU,Bronze,21-25,1945,15,1,0,True
Overdrive,Stinger,2175,20,1740.0,EU,Diamond,16-20,1136,19,1,0,False
Wasteland,Shorty,1275,0,1275.0,EU,Platinum,26-30,4149,20,0,0,True
Nocturnum,Marshal,2175,30,1522.5,Asia,Gold,21-25,2041,19,0,1,False
Elderflame,Frenzy,2475,20,1980.0,NA,Iron,16-20,3570,7,0,1,False
Singularity,Ares,2175,20,1740.0,EU,Radiant,26-30,3234,12,0,1,False
Mystbloom,Outlaw,2175,20,1740.0,Asia,Bronze,21-25,723,19,1,0,True
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Iron,21-25,3985,7,1,1,True
Kuronami,Sheriff,2375,20,1900.0,NA,Gold,26-30,629,15,1,0,True
Overdrive,Stinger,2175,10,1957.5,EU,Bronze,21-25,4948,7,0,1,False
Radiant,Ghost,2975,30,2082.5,NA,Radiant,21-25,2020,10,0,1,False
Nocturnum,Marshal,2175,20,1740.0,EU,Radiant,26-30,669,1,1,1,False
Singularity,Ares,2175,10,1957.5,NA,Iron,16-20,4847,20,0,0,True
Singularity,Ares,2175,20,1740.0,NA,Immortal,26-30,881,10,1,0,True
Ora,Sheriff,2475,20,1980.0,EU,Silver,16-20,2935,20,0,0,False
Glitchpop,Classic,2175,0,2175.0,NA,Gold,26-30,2588,3,0,0,False
Evori,Melee,4950,10,4455.0,EU,Bronze,16-20,2660,8,0,1,False
RGX,Operator,2175,10,1957.5,Asia,Platinum,21-25,4442,11,1,1,True
Glitchpop,Classic,2175,10,1957.5,NA,Radiant,26-30,4617,0,0,0,False
Kuronami,Sheriff,2375,20,1900.0,NA,Gold,26-30,2775,8,0,1,False
RGX,Operator,2175,10,1957.5,Asia,Diamond,21-25,984,20,0,0,False
Ora,Sheriff,2475,30,1732.5,EU,Bronze,26-30,4252,17,1,1,False
Prime,Guardian,1775,30,1242.5,NA,Immortal,26-30,4377,6,1,0,True
Elderflame,Frenzy,2475,20,1980.0,EU,Silver,21-25,4841,7,0,1,False
Prime,Guardian,1775,10,1597.5,NA,Immortal,16-20,1526,16,1,0,False
Overdrive,Stinger,2175,0,2175.0,NA,Silver,26-30,2045,8,1,0,False
Kuronami,Sheriff,2375,0,2375.0,EU,Iron,16-20,930,18,1,0,True
Evori,Melee,4950,10,4455.0,NA,Iron,26-30,2931,6,1,1,False
Imperium,Judge,2175,30,1522.5,NA,Bronze,26-30,1955,14,1,0,False
Nocturnum,Marshal,2175,10,1957.5,Asia,Diamond,16-20,1919,5,0,1,False
Nocturnum,Marshal,2175,20,1740.0,NA,Silver,26-30,2175,12,1,0,False
Ion,Bucky,1775,0,1775.0,NA,Immortal,16-20,2262,5,1,0,True
Nocturnum,Marshal,2175,10,1957.5,Asia,Silver,16-20,3561,19,0,1,False
Oni,Bulldog,1775,20,1420.0,Asia,Immortal,26-30,614,6,1,0,True
Reaver,Bandit,1775,10,1597.5,Asia,Silver,26-30,4705,12,0,1,False
Mystbloom,Outlaw,2175,20,1740.0,Asia,Platinum,26-30,4381,17,1,0,True
Kuronami,Sheriff,2375,0,2375.0,NA,Bronze,21-25,1983,12,0,1,False
Kuronami,Sheriff,2375,10,2137.5,NA,Platinum,16-20,4673,17,1,1,False
Oni,Bulldog,1775,30,1242.5,Asia,Gold,21-25,818,7,1,1,True
Glitchpop,Classic,2175,10,1957.5,NA,Gold,26-30,4089,10,1,0,False
Elderflame,Frenzy,2475,30,1732.5,NA,Platinum,16-20,3271,15,1,1,True
RGX,Operator,2175,20,1740.0,EU,Radiant,26-30,1449,5,0,1,False
Singularity,Ares,2175,30,1522.5,EU,Diamond,16-20,4531,14,0,1,True
Ion,Bucky,1775,20,1420.0,EU,Silver,16-20,3259,16,0,1,True
Mystbloom,Outlaw,2175,10,1957.5,Asia,Iron,26-30,3204,0,0,0,False
Gaia,Vandal,1775,20,1420.0,Asia,Iron,16-20,1304,7,1,0,False
Forsaken,Spectre,1775,10,1597.5,EU,Silver,21-25,2430,16,1,0,False
Araxys,Vandal,2175,20,1740.0,Asia,Iron,16-20,3924,10,1,1,False
Reaver,Bandit,1775,10,1597.5,NA,Radiant,16-20,1168,11,0,1,False
Forsaken,Spectre,1775,0,1775.0,Asia,Diamond,16-20,1372,18,0,0,True
Ion,Bucky,1775,20,1420.0,EU,Iron,21-25,1021,13,1,0,False
Evori,Melee,4950,30,3465.0,EU,Iron,26-30,1980,4,1,1,False
Radiant,Ghost,2975,30,2082.5,EU,Gold,21-25,3866,19,1,0,True
Reaver,Bandit,1775,20,1420.0,EU,Gold,26-30,3314,9,1,1,True
Spectrum,Phantom,2675,10,2407.5,EU,Platinum,21-25,4989,4,0,1,False
Radiant,Ghost,2975,20,2380.0,EU,Immortal,21-25,2752,18,1,1,True
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Immortal,21-25,2883,12,0,0,True
Oni,Bulldog,1775,30,1242.5,NA,Bronze,16-20,2021,2,0,0,False
Overdrive,Stinger,2175,30,1522.5,Asia,Iron,16-20,3108,12,0,1,True
Glitchpop,Classic,2175,30,1522.5,NA,Diamond,16-20,1863,0,0,0,False
Evori,Melee,4950,0,4950.0,EU,Radiant,16-20,1649,20,1,0,False
Neptune,Odin,1775,20,1420.0,EU,Silver,16-20,2092,7,0,0,False
Evori,Melee,4950,10,4455.0,NA,Silver,16-20,3847,6,0,1,False
Nocturnum,Marshal,2175,20,1740.0,EU,Radiant,26-30,3757,3,0,1,False
Glitchpop,Classic,2175,20,1740.0,NA,Silver,21-25,1605,1,1,1,False
Imperium,Judge,2175,20,1740.0,Asia,Platinum,21-25,1118,14,0,1,False
Neptune,Odin,1775,10,1597.5,EU,Gold,21-25,3690,7,0,1,True
Wasteland,Shorty,1275,10,1147.5,Asia,Iron,26-30,4015,10,0,1,False
Mystbloom,Outlaw,2175,30,1522.5,NA,Gold,21-25,1606,2,0,0,False
Glitchpop,Classic,2175,20,1740.0,EU,Immortal,26-30,1214,11,1,1,False
RGX,Operator,2175,10,1957.5,EU,Bronze,16-20,4248,12,0,1,True
Wasteland,Shorty,1275,30,892.5,EU,Iron,21-25,4732,16,0,1,True
Glitchpop,Classic,2175,0,2175.0,NA,Immortal,16-20,3213,19,1,1,False
Wasteland,Shorty,1275,20,1020.0,EU,Diamond,16-20,2315,8,0,1,False
Nocturnum,Marshal,2175,30,1522.5,NA,Immortal,21-25,2002,7,1,0,True
Ion,Bucky,1775,30,1242.5,EU,Bronze,26-30,1533,17,0,1,True
Radiant,Ghost,2975,30,2082.5,EU,Silver,21-25,1170,2,1,0,False
Spectrum,Phantom,2675,20,2140.0,EU,Radiant,26-30,3807,17,1,0,False
Forsaken,Spectre,1775,0,1775.0,NA,Diamond,16-20,2737,13,1,1,True
Mystbloom,Outlaw,2175,30,1522.5,NA,Iron,26-30,1492,14,0,0,False
Glitchpop,Classic,2175,0,2175.0,NA,Platinum,16-20,3862,18,0,1,False
Ion,Bucky,1775,0,1775.0,NA,Gold,21-25,2822,17,1,1,True
Gaia,Vandal,1775,10,1597.5,NA,Diamond,16-20,2029,8,0,0,False
RGX,Operator,2175,0,2175.0,NA,Diamond,26-30,1491,12,0,0,False
Evori,Melee,4950,10,4455.0,EU,Iron,26-30,4346,7,1,1,False
Araxys,Vandal,2175,30,1522.5,EU,Gold,26-30,2667,0,1,1,True
Spectrum,Phantom,2675,0,2675.0,EU,Immortal,21-25,2221,11,1,0,True
Gaia,Vandal,1775,10,1597.5,NA,Radiant,21-25,4315,14,1,1,True
Ora,Sheriff,2475,30,1732.5,EU,Radiant,21-25,1949,5,1,0,True
Reaver,Bandit,1775,0,1775.0,NA,Platinum,16-20,1410,4,0,1,False
Elderflame,Frenzy,2475,10,2227.5,EU,Radiant,26-30,4856,2,1,0,False
Wasteland,Shorty,1275,10,1147.5,EU,Radiant,26-30,4155,1,1,1,True
Overdrive,Stinger,2175,20,1740.0,NA,Radiant,21-25,2156,3,1,0,True
Wasteland,Shorty,1275,20,1020.0,NA,Bronze,16-20,4288,5,0,1,False
Evori,Melee,4950,10,4455.0,NA,Silver,16-20,3160,13,0,0,False
Spectrum,Phantom,2675,0,2675.0,Asia,Diamond,21-25,1653,8,0,0,False
Overdrive,Stinger,2175,30,1522.5,NA,Immortal,26-30,1878,17,0,1,True
Gaia,Vandal,1775,0,1775.0,Asia,Platinum,16-20,4650,3,1,1,False
RGX,Operator,2175,10,1957.5,EU,Iron,26-30,1089,7,0,0,False
Imperium,Judge,2175,20,1740.0,EU,Iron,16-20,1824,9,0,0,False
Radiant,Ghost,2975,10,2677.5,Asia,Radiant,16-20,1232,2,0,1,False
Mystbloom,Outlaw,2175,20,1740.0,EU,Diamond,21-25,4852,10,1,1,True
Reaver,Bandit,1775,0,1775.0,NA,Iron,21-25,2371,16,0,0,True
Kuronami,Sheriff,2375,0,2375.0,NA,Diamond,21-25,2649,12,1,0,True
Forsaken,Spectre,1775,10,1597.5,Asia,Platinum,21-25,1575,6,1,0,False
Gaia,Vandal,1775,0,1775.0,Asia,Iron,26-30,3473,5,1,1,True
Nocturnum,Marshal,2175,30,1522.5,Asia,Silver,16-20,743,8,0,0,False
Nocturnum,Marshal,2175,0,2175.0,EU,Diamond,21-25,2685,10,1,1,False
RGX,Operator,2175,0,2175.0,EU,Immortal,26-30,4114,9,0,1,False
Oni,Bulldog,1775,20,1420.0,EU,Immortal,21-25,1941,14,0,0,False
Overdrive,Stinger,2175,0,2175.0,Asia,Immortal,26-30,3283,14,1,1,False
Mystbloom,Outlaw,2175,0,2175.0,EU,Silver,21-25,1353,4,1,1,False
Imperium,Judge,2175,10,1957.5,Asia,Immortal,26-30,3630,2,0,1,True
Evori,Melee,4950,10,4455.0,NA,Diamond,26-30,4143,11,0,1,False
Singularity,Ares,2175,0,2175.0,Asia,Silver,16-20,2530,1,1,0,False
Singularity,Ares,2175,0,2175.0,EU,Radiant,21-25,1658,8,0,0,False
Elderflame,Frenzy,2475,30,1732.5,NA,Iron,21-25,3822,8,1,0,True
Singularity,Ares,2175,10,1957.5,Asia,Radiant,21-25,773,12,1,0,False
Kuronami,Sheriff,2375,20,1900.0,Asia,Silver,16-20,3350,18,1,0,False
Mystbloom,Outlaw,2175,30,1522.5,Asia,Gold,26-30,4741,8,1,1,False
Wasteland,Shorty,1275,0,1275.0,NA,Radiant,21-25,3552,13,0,1,False
Ora,Sheriff,2475,0,2475.0,NA,Silver,16-20,4272,6,1,1,False
Neptune,Odin,1775,0,1775.0,EU,Diamond,26-30,4082,6,0,1,False
Glitchpop,Classic,2175,30,1522.5,NA,Gold,16-20,3154,3,0,1,True
Neptune,Odin,1775,30,1242.5,EU,Diamond,26-30,4739,7,1,0,True
Ion,Bucky,1775,0,1775.0,Asia,Gold,26-30,540,19,0,0,False
Reaver,Bandit,1775,30,1242.5,NA,Platinum,16-20,4746,6,1,1,True
Nocturnum,Marshal,2175,0,2175.0,Asia,Bronze,16-20,4487,13,0,1,False
Elderflame,Frenzy,2475,20,1980.0,EU,Diamond,26-30,2071,0,1,0,True
RGX,Operator,2175,20,1740.0,EU,Radiant,21-25,1492,13,1,1,False
Ion,Bucky,1775,30,1242.5,Asia,Diamond,21-25,4946,10,1,0,True
Singularity,Ares,2175,20,1740.0,NA,Diamond,16-20,3472,8,0,0,True
Singularity,Ares,2175,20,1740.0,Asia,Bronze,26-30,1777,15,0,1,True
Ion,Bucky,1775,30,1242.5,EU,Radiant,26-30,4888,8,1,0,False
Araxys,Vandal,2175,0,2175.0,Asia,Diamond,21-25,4694,0,1,0,True
Prime,Guardian,1775,30,1242.5,Asia,Immortal,26-30,4127,7,0,1,True
Reaver,Bandit,1775,10,1597.5,Asia,Platinum,26-30,1227,0,1,0,True
Wasteland,Shorty,1275,0,1275.0,EU,Bronze,21-25,739,18,0,0,True
Mystbloom,Outlaw,2175,10,1957.5,Asia,Diamond,26-30,4704,3,1,0,True
Elderflame,Frenzy,2475,10,2227.5,Asia,Iron,26-30,3611,0,0,0,False
Radiant,Ghost,2975,0,2975.0,NA,Immortal,21-25,4183,20,0,1,True
Glitchpop,Classic,2175,0,2175.0,Asia,Silver,21-25,683,11,1,0,True
Evori,Melee,4950,10,4455.0,NA,Platinum,26-30,3088,10,0,1,True
Ion,Bucky,1775,30,1242.5,Asia,Silver,21-25,4546,15,0,0,False
RGX,Operator,2175,10,1957.5,NA,Platinum,26-30,864,15,0,0,False
Kuronami,Sheriff,2375,20,1900.0,NA,Silver,21-25,4337,1,0,0,False
Gaia,Vandal,1775,10,1597.5,NA,Silver,26-30,1160,11,0,0,False
Araxys,Vandal,2175,30,1522.5,Asia,Platinum,16-20,1841,9,1,1,False
Forsaken,Spectre,1775,0,1775.0,EU,Iron,21-25,2394,12,0,0,True
Forsaken,Spectre,1775,10,1597.5,NA,Diamond,21-25,4036,12,0,0,False
Kuronami,Sheriff,2375,0,2375.0,EU,Platinum,16-20,538,17,1,0,False
Imperium,Judge,2175,20,1740.0,Asia,Bronze,21-25,3212,2,1,1,False
Singularity,Ares,2175,10,1957.5,NA,Immortal,26-30,2888,13,0,0,False
Radiant,Ghost,2975,20,2380.0,Asia,Silver,21-25,3319,14,1,1,False
